protein_path,ligand_smiles,vina_score,split_name
P2RY1_HUMAN_2_373_alloEH123_0/4xnv_A_rec_4xnv_bur_lig_tt_min_0_pocket10.pdb,Cc1ccccc1C[C@H](C)[NH2+]C1CC[NH+]([C@@H]2CCCC[C@H]2O)CC1,-5.9,TRAINING
IGHE_HUMAN_206_427_0/5hys_G_rec_1f6a_cps_lig_it1_it2_tt_docked_17_pocket10.pdb,COc1ccc2nc(NC(=O)[C@H]3CCCN(S(=O)(=O)c4cn(C(C)C)cn4)C3)sc2c1,-4.7,TRAINING
AROG_ECOLI_1_350_0/1n8f_A_rec_1kfl_pep_lig_tt_min_0_pocket10.pdb,C[C@H](c1nc(-c2cc3ccccc3o2)no1)[NH+]1CCSCC1,-7.2,TRAINING
ADK_HUMAN_15_362_0/4o1l_A_rec_4o1l_ho4_lig_tt_docked_4_pocket10.pdb,O=C(Cc1ccc(F)cc1F)OC[C@@H]1CCN(c2ccccc2)C1,-7.9,TRAINING
TYK2_HUMAN_564_879_0/4wov_A_rec_5tkd_7gl_lig_tt_docked_5_pocket10.pdb,Cc1ccccc1Nc1nc(N)nc(C[NH+]2CCN(c3ccccc3F)CC2)n1,-9.0,TRAINING
RORG_HUMAN_262_508_0/5ejv_B_rec_5ejv_444_lig_tt_docked_0_pocket10.pdb,CCC[C@H]1C(=O)NC(=O)C[C@]1(C)CCC,-6.3,TRAINING
IMDH_CRYPV_1_400_0/3khj_B_rec_4ixh_q21_lig_tt_min_0_pocket10.pdb,COc1c(C)cnc(CNC(=O)c2cnn(-c3ccncc3)c2C)c1C,-7.1,VALIDATION
OPRD_HUMAN_36_339_0/4ej4_A_rec_4ej4_ej4_lig_tt_docked_0_pocket10.pdb,C[C@@H](Sc1cccc[n+]1[O-])C(=O)Nc1ccc(Cl)cn1,-7.3,TRAINING
FPPS_HUMAN_69_419_allosteric_0/5jv1_F_rec_5diq_5b9_lig_tt_docked_1_pocket10.pdb,C[C@@H](NC(=O)C(C)(C)C)c1cccc(N)c1,-6.2,TRAINING
RIP1_MOMCH_24_270_0/3my6_A_rec_3mry_ade_lig_tt_docked_11_pocket10.pdb,COCCNC(=O)c1ccc2c(c1)OCO2,-6.1,TRAINING
NRAM_I75A5_83_470_0/2qwa_A_rec_1l7f_bcz_lig_tt_min_0_pocket10.pdb,CCOC(=O)c1c(NC(=O)c2cc(Cl)sc2Cl)sc2c1CCN(C(=O)OCC)C2,-6.3,TRAINING
PIN1_HUMAN_2_44_pep_0/1f8a_B_rec_2f21_1pe_lig_tt_min_0_pocket10.pdb,C[C@@H]1C[C@@H](C)C[NH+](CCCCNC(=O)N2CCC(C)(C)C2)C1,-5.2,TRAINING
U72B1_ARATH_1_480_TCP_0/2vce_A_rec_2vce_tc7_lig_tt_min_0_pocket10.pdb,O=C1CN(CCc2ccccc2F)[C@H]2CS(=O)(=O)C[C@@H]2N1c1cccc(Cl)c1,-7.6,TRAINING
CYSK_MYCTU_2_310_0/2q3d_A_rec_2q3d_pda_lig_tt_docked_0_pocket10.pdb,COc1ccc(-c2nc(S(=O)(=O)c3ccccc3)c(NCc3ccc4c(c3)OCO4)o2)cc1,-5.1,TRAINING
SYI_THET8_384_821_0/1jzq_A_rec_1jzq_ila_lig_tt_min_0_pocket10.pdb,Cn1cc[nH+]c1C[C@H]1CCC[N@@H+](CC2CCC2)C1,-6.5,TRAINING
HINT1_HUMAN_2_126_0/5ed6_B_rec_5i2f_bs5_lig_tt_docked_1_pocket10.pdb,CC[NH+](CC)CCN1C(=O)c2oc3ccc(Cl)cc3c(=O)c2[C@H]1c1ccc([N+](=O)[O-])cc1,-6.5,TRAINING
NMDZ1_HUMAN_393_800_0/5h8h_B_rec_5h8h_5yc_lig_tt_docked_1_pocket10.pdb,CC(C)Cn1ncc2cc(C(=O)N(C)C3CC[NH+](C)CC3)cnc21,-8.5,VALIDATION
IKKB_HUMAN_7_668_0/4kik_A_rec_4kik_ksa_lig_tt_min_0_pocket10.pdb,COc1ccc(CNC(=O)C[C@H]2Sc3ccc(C(F)(F)F)cc3NC2=O)cn1,-8.5,TRAINING
CD1B_HUMAN_19_300_0/5wke_A_rec_5wl1_cuy_lig_tt_min_0_pocket10.pdb,COc1ccccc1/C=N/NC(=O)CNC(=O)c1cccc([N+](=O)[O-])c1C,-8.9,TRAINING
LYSC_CHICK_79_147_0/1fly_A_rec_3sp3_suc_lig_tt_min_0_pocket10.pdb,Cc1ccoc1[C@H](C)[NH2+][C@H](C)Cc1cccs1,-5.8,TRAINING
AROG_ECOLI_1_350_0/1n8f_A_rec_1kfl_pep_lig_tt_min_0_pocket10.pdb,[NH3+]Cc1cccc(NC(=O)C2CC2)c1,-5.3,TRAINING
BPHC_PARXL_2_298_0/1lkd_A_rec_1lgt_bp3_lig_tt_min_0_pocket10.pdb,CCS[C@@H]1CCCC[N@@H+](CC2(CO)COC2)C1,-4.8,TRAINING
LKHA4_HUMAN_1_611_0/5nid_A_rec_3fts_stl_lig_tt_docked_9_pocket10.pdb,CCOC(=O)C(F)(F)Oc1cc(C)ccc1C,-7.8,TRAINING
BLA1_KLEPN_19_286_tazobactam2_0/1n9b_A_rec_4fcf_tau_lig_tt_min_0_pocket10.pdb,Cc1ccc(Cn2nnc3c(=O)[nH]c([C@@H]4CCCN(S(=O)(=O)c5ccccc5)C4)nc32)cc1,-7.1,TRAINING
EHMT2_HUMAN_914_1191_0/5ttf_C_rec_4nvq_2od_lig_tt_min_0_pocket10.pdb,COc1ccc(C(=O)NC(=S)Nc2ccc(N3CCCCC3)c(F)c2)cc1Cl,-8.0,VALIDATION
NADA_PYRHO_1_300_0/1wzu_A_rec_5ktr_mae_lig_tt_docked_8_pocket10.pdb,CN(C[C@@H](O)c1ccccc1)C(=O)C1CCN(c2cccc3c2C(=O)N(Cc2ccncc2)C3=O)CC1,-6.0,VALIDATION
METE1_ARATH_1_765_0/1u22_A_rec_1u22_thg_lig_tt_min_0_pocket10.pdb,CN[C@H](Cc1ccc2c(c1)CCC2)C(C)(C)[NH+]1CCCC1,-7.6,TRAINING
S14L2_HUMAN_1_275_0/4omj_A_rec_1olm_vtq_lig_tt_min_0_pocket10.pdb,Cc1nsc(N(C)C(=O)[C@@H]2CC(=O)N(C)C2)c1C(=O)[O-],-7.4,VALIDATION
L_LYCVA_2_197_0/5t2t_A_rec_5t2t_0n8_lig_tt_min_0_pocket10.pdb,CCOCCN(C)C(=O)CCc1ccccc1C,-4.6,TRAINING
OTC1_ECOLI_2_334_0/1duv_G_rec_1duv_psq_lig_tt_docked_0_pocket10.pdb,CC[C@@H](Nc1ccn(C)n1)C(=O)[O-],-5.7,TRAINING
MBTI_MYCTU_1_450_0/3rv7_B_rec_3rv9_rvd_lig_tt_min_0_pocket10.pdb,CC[C@@H]1CCCC[N@@H+]1CN1C(=O)c2cc(Cl)c(Cl)cc2C1=O,-6.6,TRAINING
DYR_HUMAN_2_187_0/1hfq_A_rec_5hpb_63w_lig_tt_docked_0_pocket10.pdb,CCN(CC)C(=O)C[C@@H](C[NH3+])N(C)C(C)C,-5.1,TRAINING
TUBOL_MYCTU_1_296_0/3wqm_A_rec_3wqm_b29_lig_tt_min_0_pocket10.pdb,NC(=O)c1ccc(-n2c(SCC(=O)Nc3nccs3)nc3ccsc3c2=O)cc1,-7.4,TRAINING
SYI_THET8_384_821_0/1jzq_A_rec_1jzq_ila_lig_tt_min_0_pocket10.pdb,C[C@@H]1CN(CCOC(C)(C)C)CC(C)(C)O1,-5.7,TRAINING
FOLB_STAAU_1_121_0/2nm3_A_rec_2nm3_mpu_lig_tt_docked_0_pocket10.pdb,CS(=O)(=O)CCNC(=O)Nc1ccc2c(c1)oc1ccccc12,-7.5,VALIDATION
TRYP_PIG_9_231_0/1s6h_A_rec_1s83_4ha_lig_tt_min_0_pocket10.pdb,COc1ccc(CNC(=O)c2cc(N3C(=O)C(C)(C)CS3(=O)=O)ccc2Cl)cc1OC,-6.6,TRAINING
MOAC_ECOLI_1_161_0/4pya_A_rec_4pyd_8cs_lig_tt_docked_0_pocket10.pdb,COC[C@@H](C)NC(=O)C[N@H+]1CC=C(c2cccc(C)c2)CC1,-4.6,VALIDATION
PYRI_ECOLI_1_153_0/4fyx_D_rec_4fyy_ctp_lig_tt_min_0_pocket10.pdb,C[C@@H](CO)[C@@H](C)Nc1ccc(S(=O)(=O)C(F)F)cc1[N+](=O)[O-],-5.0,TRAINING
C43BP_HUMAN_347_624_0/2e3m_A_rec_2z9y_ddr_lig_tt_min_0_pocket10.pdb,Cc1cscc1C[NH2+][C@H]1CCCCC[C@@H]1C#N,-6.5,TRAINING
TRPD_MYCTU_9_370_0/3qs8_A_rec_4owq_3m0_lig_tt_min_0_pocket10.pdb,COc1ccc(Cl)cc1NC(=O)CN(C)C(=O)C1CCN(C(=O)c2ccc(F)cc2)CC1,-7.3,TRAINING
PRTK_PARAQ_106_384_pep_0/4fon_A_rec_5whw_bcn_lig_tt_min_0_pocket10.pdb,COC(=O)C1CCN(C(=O)c2cc3ccccc3cc2OC)CC1,-5.3,TRAINING
DPOLL_HUMAN_327_575_0/3pml_A_rec_1xsp_ppv_lig_tt_docked_1_pocket10.pdb,CC(C)(C)c1ccc(C(=O)C[C@@]2(O)C(=O)N(Cc3ccc4c(c3)OCO4)c3ccccc32)cc1,-7.3,TRAINING
KAE1B_METJA_1_338_ATPsite_0/5jmv_A_rec_5jmv_amp_lig_tt_docked_0_pocket10.pdb,CCOC(=O)c1sc2nc(C(C)C)c3c(c2c1N)CC(C)(C)OC3,-6.1,TRAINING
TOP6B_SULSH_1_470_0/1z5b_B_rec_1z5c_adp_lig_tt_min_0_pocket10.pdb,CC(C)[C@@H](C)NC(=O)CSCC[NH3+],-5.9,TRAINING
TTBK1_HUMAN_6_314_0/4btk_A_rec_4btk_dtq_lig_tt_docked_1_pocket10.pdb,Cc1cc(OCc2coc(-c3ccc(S(C)(=O)=O)cc3)n2)nnc1C,-7.5,TRAINING
ENAH_HUMAN_1_112_0/5nbf_A_rec_4my6_3vh_lig_tt_docked_0_pocket10.pdb,C[C@H]1C[N@H+](C[C@@H]2CCCO2)CCC1=O,-4.4,TRAINING
METE1_ARATH_1_765_0/1u22_A_rec_1u22_thg_lig_tt_min_0_pocket10.pdb,CCc1noc(C)c1CNc1ccc(-n2ncn(C)c2=O)cc1,-6.8,TRAINING
ENO_STAAU_1_434_0/5boe_A_rec_5boe_pep_lig_tt_min_0_pocket10.pdb,COc1ccc(C(=O)N(C[C@H]2CCC(=O)N2)C(C)C)o1,-6.0,TRAINING
BCAT2_HUMAN_28_392_0/1kta_A_rec_1kta_pmp_lig_tt_docked_0_pocket10.pdb,CC(=O)N(C)c1cccc(NC(=O)c2cccc(C[NH+]3CCCC3)c2)c1,-7.5,TRAINING
GH43A_BACO1_21_526_0/5jow_A_rec_5joy_6lw_lig_tt_min_0_pocket10.pdb,CCn1cc(C(=O)NC2CCCCCC2)c(=O)c2cc(S(=O)(=O)N3CCCCC3)ccc21,-6.5,TRAINING
MTNK_BACSU_1_397_ATP_0/2pup_A_rec_2olc_adp_lig_tt_min_0_pocket10.pdb,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,-7.1,TRAINING
TTHY_HUMAN_21_147_0/3ims_A_rec_5boj_4tx_lig_tt_docked_0_pocket10.pdb,CCn1c(CCC(=O)Nc2cc(Cl)ccc2C)nc2cc(S(=O)(=O)N(C)C)ccc21,-7.1,TRAINING
FTSI_PSEAE_42_579_0/4kqq_B_rec_4kqq_vpp_lig_tt_min_0_pocket10.pdb,Cc1noc(-c2ccc(S(=O)(=O)N[C@H]3CC[C@@H](C)CC3)s2)c1C,-8.5,TRAINING
ENAH_HUMAN_1_112_0/5nbf_A_rec_4my6_3vh_lig_tt_docked_0_pocket10.pdb,CC[C@@H]1CCCC[C@@H]1OC(=O)CC1CC[NH2+]CC1,-5.3,TRAINING
PGH1_SHEEP_29_592_0/1u67_A_rec_1q4g_bfl_lig_tt_docked_0_pocket10.pdb,NNCc1nc(-c2ccccc2Cl)cs1,-6.7,TRAINING
OXDA_PIG_1_345_0/4yjd_A_rec_1ve9_bez_lig_tt_docked_9_pocket10.pdb,[NH3+][C@H](CO)c1c(Cl)ccc(Cl)c1Cl,-6.7,TRAINING
A1AG2_HUMAN_18_201_0/3apx_A_rec_3apx_z80_lig_tt_min_0_pocket10.pdb,CC(=O)Nc1ccc(N2C[C@@H](C(=O)Nc3nc4ccc([N+](=O)[O-])cc4s3)CC2=O)cc1,-7.3,TRAINING
PURA_ECOLI_2_432_0/1nht_A_rec_1qf5_rpl_lig_tt_docked_1_pocket10.pdb,CC(CO)(CO)Cc1ccc(Cl)s1,-5.8,TRAINING
TPA1_YEAST_17_644_0/4nhm_A_rec_4nhk_pd2_lig_tt_min_0_pocket10.pdb,O=C(NCc1ccccn1)[C@@H]1CCC[N@H+](C2CCN(Cc3cscn3)CC2)C1,-8.2,VALIDATION
AAKG1_HUMAN_182_330_0/4eak_C_rec_2v8q_amp_lig_tt_docked_0_pocket10.pdb,CC(C)C(=O)Nc1ccc(O[C@H](C)c2nc(-c3cccs3)no2)cc1,-7.6,TRAINING
NAMPT_HUMAN_1_490_0/4o18_B_rec_4n9b_2hh_lig_tt_docked_12_pocket10.pdb,C#Cc1cccc(NC(=O)NC[C@H]2CCCN(c3ncccn3)C2)c1,-8.1,TRAINING
CINA_CITBR_7_404_0/3bdz_A_rec_4fmx_cnl_lig_tt_min_0_pocket10.pdb,O=C(C[N@H+]1CC[C@@H]1c1ccc(Cl)cc1)N[C@@H]1CCOc2ccccc21,-8.0,TRAINING
FABPH_HUMAN_1_133_0/4tjz_A_rec_5hz9_5m8_lig_tt_min_0_pocket10.pdb,C[C@H](C[NH3+])[C@@H](C)N(C)Cc1cccc(Br)c1,-6.5,TRAINING
SUIS_HUMAN_61_931_0/3lpp_B_rec_3lpp_ktl_lig_tt_min_0_pocket10.pdb,NC(=O)c1c(NC(=O)c2ccc(-c3ccccc3)cc2)sc2c1CCN(Cc1ccccc1)C2,-7.9,TRAINING
ACK1_HUMAN_113_392_0/4id7_A_rec_4id7_1g0_lig_tt_docked_0_pocket10.pdb,[NH3+]C[C@H]1CC[C@@H](C(=O)Nc2ccc(O)c(C(=O)[O-])c2)O1,-7.0,TRAINING
FABPL_CHICK_2_126_0/1tw4_A_rec_1tw4_chd_lig_tt_docked_0_pocket10.pdb,CCc1ccc([C@H](C)NC(=O)CN(C)S(=O)(=O)c2ccc(Cl)nc2)cc1,-9.0,TRAINING
PARE_STRPN_397_647_0/3rad_D_rec_3rad_nfx_lig_tt_min_0_pocket10.pdb,COc1c(Cl)ccc2sc(N3CC[NH+](CCNC(=O)c4cc5ccccc5oc4=O)CC3)nc12,-4.7,TRAINING
MGA_HUMAN_87_955_0/2qly_A_rec_3l4v_ktl_lig_tt_min_0_pocket10.pdb,O=S(=O)(O)O[C@@H]([C@H](O)[C@H](O)[C@@H](O)CO)[C@H](O)C[S@@H]1C[C@@H](O)[C@H](O)[C@H]1CO,-5.8,TRAINING
I23O1_HUMAN_4_403_0/4pk6_A_rec_4pk6_pkl_lig_tt_min_0_pocket10.pdb,CCN(C[C@@H]1COc2ccccc2O1)C(=O)N[C@@H](c1ccc(F)cc1)[C@@H]1CCCO1,-9.0,TRAINING
PMYT1_HUMAN_74_362_0/5vcv_A_rec_5vcv_1n1_lig_tt_docked_5_pocket10.pdb,CCn1cnc(S(=O)(=O)Nc2c(C)n[nH]c2C)c1,-7.0,TRAINING
PYRI_ECOLI_1_153_0/4fyx_D_rec_4fyy_ctp_lig_tt_min_0_pocket10.pdb,COc1ccc(NC(=O)[C@H]2CCCN2C(=O)Nc2cccc(Cn3ccnc3)c2)cc1,-6.2,TRAINING
CHK2_HUMAN_210_526_0/2ycf_A_rec_2yit_yit_lig_tt_docked_1_pocket10.pdb,COc1cccc(Cc2c(C)nc(C)nc2N2CCN(C(=O)c3cccc(Br)c3)CC2)c1,-8.3,TRAINING
THM1_THADA_1_207_0/4bar_A_rec_4bar_ikx_lig_tt_min_0_pocket10.pdb,CCOC(=O)Cn1/c(=N/C(=O)Cc2ccc3c(c2)OCO3)sc2cc(S(C)(=O)=O)ccc21,-5.2,TRAINING
DRTS_PLAFK_1_608_0/3qgt_A_rec_3qgt_cp6_lig_tt_docked_0_pocket10.pdb,O=C(COc1ccc(C(=O)N2CCOCC2)cc1)Nc1ccc(I)cc1,-8.2,TRAINING
AMPE_HUMAN_76_957_0/4kxb_A_rec_4kxb_bes_lig_tt_min_0_pocket10.pdb,C[C@@H]1NCC[N+]2=C1CC[C@@H]2c1nn[n-]n1,-6.1,TRAINING
BRD4_HUMAN_42_168_0/5d24_A_rec_4f3i_0s6_lig_tt_min_0_pocket10.pdb,Cc1ccc2nc3c(cc(C(=O)NCc4cccnc4)c(N)[n+]3Cc3cccnc3)c(=O)n2c1,-9.2,TRAINING
THRB_HUMAN_364_622_inhibitor_0/1zgi_A_rec_1sl3_170_lig_tt_docked_0_pocket10.pdb,COc1cccc(N2CCCn3c2nc2c3c(=O)n(Cc3ccccc3C)c(=O)n2C)c1,-8.0,TRAINING
GSH1_ECOLI_1_518_0/1va6_A_rec_1va6_p2s_lig_tt_min_0_pocket10.pdb,Cc1n[nH+]c(N[C@H](C)CCCCl)c2ccccc12,-6.6,TRAINING
SYS_PYRHO_1_455_0/2zr3_A_rec_2dq0_ssa_lig_tt_min_0_pocket10.pdb,COc1cccc(O[C@@H](C)C(=O)N2CC[C@H](c3cc4nc(C)cc(C(F)(F)F)n4n3)C2)c1,-7.8,TRAINING
KMT5A_HUMAN_231_392_0/1zkk_C_rec_1zkk_sah_lig_tt_min_0_pocket10.pdb,COc1cc(C[N@H+]2CCc3nnc([C@H](C)NC(=O)c4cc(F)ccc4F)n3CC2)cc(OC)c1,-9.7,TRAINING
SPIN1_HUMAN_48_262_pep_0/4mzg_B_rec_4mzg_mrd_lig_tt_docked_0_pocket10.pdb,C[C@@H](O)CC(C)(C)O,-5.3,TRAINING
PA2GX_HUMAN_43_165_0/5g3m_A_rec_5g3m_9jh_lig_tt_docked_0_pocket10.pdb,O=C(Cc1ccccc1F)NC[C@@H]1CC[C@@H](C(=O)[O-])O1,-7.2,TRAINING
PCXB_PSEPU_2_239_0/3lmx_M_rec_3pch_chb_lig_tt_docked_5_pocket10.pdb,Cc1ccc2nc(NC(=O)CCn3nc(C(=O)Nc4ccc(C)c(C)c4)ccc3=O)sc2c1,-9.3,VALIDATION
THIC_CAUCR_1_612_0/3epm_A_rec_3epm_hmh_lig_tt_min_0_pocket10.pdb,C[C@H]1CCCC[C@@H]1NC(=O)C(=O)Nc1cccc(Br)c1,-5.8,TRAINING
BIOD1_ECOLI_2_225_0/1dam_A_rec_1dai_dsd_lig_tt_min_0_pocket10.pdb,CC(=O)Nc1cc(C(=O)CSc2nnc(-c3ccccc3Cl)n2C2CCCC2)ccc1O,-7.9,TRAINING
ACRB_ECOLI_1_1048_doxorubicin_0/5eno_C_rec_5eno_5qg_lig_tt_docked_0_pocket10.pdb,Fc1ccc(C2=NN=C[C@H]2CN(Cc2cccnc2)Cc2cccnc2)cc1,-10.3,TRAINING
GNAI1_HUMAN_28_353_GTP_0/1gfi_A_rec_1as3_gdp_lig_tt_docked_0_pocket10.pdb,C[C@]1(COc2ccc(C(=O)N3CCC(Cn4cccn4)CC3)cn2)CCC[NH2+]C1,-7.2,TRAINING
LPXD_ECOLI_2_341_0/4ihf_C_rec_4ihf_1f7_lig_tt_min_0_pocket10.pdb,CCc1ccc([C@@H](C)NC(=O)[C@H](C)N2CCN(CCO)CC2)cc1,-4.2,TRAINING
O16G1_BACSU_1_561_0/4m56_A_rec_4m56_glo_lig_tt_min_0_pocket10.pdb,O=C(COc1ccccc1)N1CCN(c2ncnc3c2nnn3-c2ccccc2)CC1,-8.2,TRAINING
SYP_ENTFA_1_572_0/2j3l_A_rec_2j3l_p5a_lig_tt_docked_0_pocket10.pdb,O=C(NCc1ccc(Br)s1)c1cccc(F)c1Cl,-8.4,TRAINING
FTSI_PSEAE_42_579_0/4kqq_B_rec_4kqq_vpp_lig_tt_min_0_pocket10.pdb,CC[C@@H](C(=O)N1C[C@@H](C)[C@H](C)C1)C(N)=S,-6.2,TRAINING
DYR_PNECA_1_206_0/1ly3_A_rec_4ixe_ixe_lig_tt_docked_9_pocket10.pdb,Cc1ccc2nc(N(CC[NH+](C)C)C(=O)c3ccc(N4C(=O)CCC4=O)cc3)sc2c1,-8.6,TRAINING
AMPN_PIG_63_963_0/4fkk_A_rec_4fkk_bes_lig_tt_docked_0_pocket10.pdb,O=C1CCCN1c1ccc(S(=O)(=O)N(Cc2cccs2)Cc2cccs2)cc1,-7.5,TRAINING
ALBU_HUMAN_25_609_halothaneSite_0/5id7_A_rec_1e7f_dao_lig_tt_min_0_pocket10.pdb,CCC[C@@H](O)Cc1c(F)cccc1F,-6.6,TRAINING
PYR1_HUMAN_1455_1846_0/4c6c_A_rec_4c6n_ncd_lig_tt_docked_8_pocket10.pdb,O=C(NCc1cccc(CO)c1)NNc1cccc(F)c1F,-7.4,TRAINING
PUR9_CHICK_1_593_IMPCH_0/2b1i_B_rec_2b1i_93a_lig_tt_min_0_pocket10.pdb,COc1ccc(NC(=O)[C@@H]2CCCN(S(=O)(=O)c3cc4c(cc3C)NC(=O)CO4)C2)cc1Cl,-6.1,TRAINING
PKNI_MYCTU_2_256_0/5m06_B_rec_5m06_adp_lig_tt_min_0_pocket10.pdb,COC(=O)CNC(=O)N[C@H]1CCCCC[C@@H]1C(=O)[O-],-5.8,TRAINING
POL_MLVMS_534_676_0/3slz_B_rec_3slz_3tl_lig_tt_docked_1_pocket10.pdb,Cc1ccccc1N1CCN(CN2C(=O)[C@@H](C)N(c3ccc(F)cc3)C2=O)CC1,-9.1,TRAINING
LPXD_ECOLI_2_341_0/4ihf_C_rec_4ihf_1f7_lig_tt_min_0_pocket10.pdb,COc1cccc(Nc2ncnc(N(C)C)c2[N+](=O)[O-])c1,-4.0,TRAINING
DT3E_PSECI_1_290_0/5j8l_A_rec_5j8l_tgj_lig_tt_min_0_pocket10.pdb,COC(=O)c1cc(F)c(C)c(NCc2nnc(Cc3ccccc3)o2)c1,-8.8,TRAINING
PGTB2_MOUSE_9_339_0/4ehm_B_rec_1ltx_far_lig_tt_min_0_pocket10.pdb,Cc1nnc(SCCC(=O)Nc2cccc(F)c2)s1,-6.3,TRAINING
MTNN_STAAM_1_228_0/3bl6_A_rec_3bl6_fmc_lig_tt_docked_0_pocket10.pdb,C[C@H]1C[N@@H+]2CCC[C@@H]2CN1c1ccc(F)cc1CCl,-6.1,TRAINING
TP53B_HUMAN_1484_1603_0/4rg2_B_rec_3lgl_mly_lig_tt_min_0_pocket10.pdb,C[C@@H]1CC(Nc2cccc(OC3CCCC3)c2)C[C@@H](C)O1,-8.6,TRAINING
POLH_HUMAN_1_432_0/4ed2_A_rec_5l1i_dcp_lig_tt_docked_9_pocket10.pdb,CCCn1c(=O)c2sccc2n2c(SCc3ccc(Br)cc3)nnc12,-7.1,TRAINING
SUIS_HUMAN_61_931_0/3lpp_B_rec_3lpp_ktl_lig_tt_min_0_pocket10.pdb,CC[C@@H](NC(=O)/C=C/C1CC1)c1nc(C)n[nH]1,-6.4,TRAINING
ANDR_HUMAN_666_919_ligBind_0/3v49_A_rec_2pip_dht_lig_tt_docked_6_pocket10.pdb,C[C@@H](OC(=O)C1CCCC1)c1ccc(Cl)cc1,-7.7,TRAINING
LEG7_HUMAN_2_136_0/5h9q_B_rec_3gal_1gn_lig_tt_docked_6_pocket10.pdb,N[C@@H](C[NH+](CCO)CCO)C(=O)[O-],-3.0,TRAINING
PYGM_HUMAN_3_842_allosteric_0/3zct_A_rec_3mrv_16f_lig_tt_min_0_pocket10.pdb,CCNC(=O)[C@]1(Cc2ccccc2-c2ccccc2)CCCN(C(=O)[C@H]2CCCO2)C1,-7.0,TRAINING
HYES_HUMAN_230_551_0/4j03_A_rec_5alm_7gm_lig_tt_docked_3_pocket10.pdb,CCN(CCO)C(=O)c1cscc1C,-5.7,TRAINING
POLG_HCVJ4_2420_2955_0/3uph_A_rec_3uph_0c1_lig_tt_min_0_pocket10.pdb,CC[C@H](C)NC(=O)c1ccc2c(=O)n(C(C)C)c3nn(CC(=O)Nc4cccc(C)c4)c(=O)n3c2c1,-8.7,TRAINING
AMP1_PLAFQ_195_1084_0/4r5t_A_rec_4r5v_r5v_lig_tt_docked_0_pocket10.pdb,CC(C)Oc1ccc(CC[C@@H](C)NC(=O)[C@@H]2CCN(C)C(=O)C2)cc1,-8.7,TRAINING
